item_no,category_name,item_description,vendor,vendor_name,bottle_size,pack,inner_pack,proof,list_date,bottle_price,shelf_price,case_cost
34919,IMPORTED VODKA,Three Olives Vodka,395,Proximo,1750,6,1,80,2000-01-01T00:00:00Z,16,24,95.97
3492,DECANTERS & SPECIALTY PACKAGES,Don Julio Reposado W/2 Glasses,260,Diageo Americas,750,3,1,80,2006-08-01T00:00:00Z,27,40.5,81
34922,IMPORTED VODKA,Three Olives Cherry Vodka,395,Proximo,603,4,1,70,2003-07-01T00:00:00Z,6.65,9.98,26.6
34923,IMPORTED VODKA,Three Olives Raspberry Vodka,395,Proximo,603,4,1,70,2003-07-01T00:00:00Z,6.65,9.98,26.6
34924,IMPORTED VODKA,Three Olives Vanilla Vodka,395,Proximo,603,4,1,70,2003-07-01T00:00:00Z,6.65,9.98,26.6
34925,IMPORTED VODKA,Three Olives Orange Vodka,395,Proximo,750,6,1,70,2005-05-01T00:00:00Z,10.4,15.6,62.4
34929,IMPORTED VODKA,Three Olives Chocolate Flavored Vodka,395,Proximo,750,6,1,70,2004-02-01T00:00:00Z,10.4,15.6,62.4
34933,IMPORTED VODKA,Three Olives Green Apple Flavored Vodka(dno),395,Proximo,750,6,1,70,2004-02-01T00:00:00Z,10.4,15.6,62.4
34935,IMPORTED VODKA,Three Olives Vodka,395,Proximo,750,12,1,80,1999-05-01T00:00:00Z,9.96,14.94,119.49
3494,DECANTERS & SPECIALTY PACKAGES,Cuervo Especial Gold Gift Set,395,Proximo,375,12,1,80,1996-08-01T00:00:00Z,4.8,7.2,57.63
904927,IMPORTED VODKA,Wasabe Vodka W/sake,305,Mhw Ltd,1000,6,1,70,2009-02-11T00:00:00Z,16.85,25.28,101.1
34944,IMPORTED VODKA,Vox Vodka Mini,65,Jim Beam Brands,301,10,1,80,2000-10-01T00:00:00Z,5.4,8.1,54
34945,IMPORTED VODKA,Vox Vodka,65,Jim Beam Brands,750,12,1,80,2000-01-01T00:00:00Z,15.99,23.99,191.92
34946,IMPORTED VODKA,Vox Vodka,65,Jim Beam Brands,750,6,1,80,2000-01-01T00:00:00Z,13.64,20.46,81.85
3495,DECANTERS & SPECIALTY PACKAGES,El Jimador Blanco w/Glass,85,Brown-forman Corporation,750,6,1,80,2014-10-01T00:00:00Z,11.15,16.73,66.85
34952,IMPORTED VODKA,Van Gogh Wild Appel Vodka,421,Sazerac Co. Inc.,750,12,1,70,2007-03-01T00:00:00Z,12.67,19.01,152
34954,IMPORTED VODKA,Vox Raspberry Vodka,65,Jim Beam Brands,300,10,1,80,2003-12-01T00:00:00Z,5.4,8.1,54
34955,IMPORTED VODKA,Vox Raspberry Vodka,65,Jim Beam Brands,750,6,1,70,2003-09-01T00:00:00Z,15.99,23.99,95.96
34958,IMPORTED VODKA - MISC,Three Olives Vanilla Vodka,395,Proximo,750,12,1,70,2005-05-01T00:00:00Z,9.96,14.94,119.49
34959,IMPORTED VODKA - MISC,Three Olives Raspberry Vodka,395,Proximo,750,12,1,70,2005-05-01T00:00:00Z,9.96,14.94,119.49
3496,DECANTERS & SPECIALTY PACKAGES,1800 Reposado 750ml & 1800 Pomegranate Mixer,395,Proximo,750,6,1,80,2012-04-01T00:00:00Z,14.49,21.74,86.96
904928,PUERTO RICO & VIRGIN ISLANDS RUM,English Harbour Rum 10yr,391,Anchor Distilling (preiss Imports),750,1,1,80,2010-11-05T00:00:00Z,46,69,46
34962,IMPORTED VODKA - MISC,Three Olives Orange Vodka,395,Proximo,750,12,1,70,2005-05-01T00:00:00Z,9.96,14.94,119.49
34967,IMPORTED VODKA,Three Olives Green Apple Vodka(dno),395,Proximo,750,12,1,70,2005-05-01T00:00:00Z,9.96,14.94,119.49
34968,IMPORTED VODKA - MISC,Three Olives Chocolate Vodka,395,Proximo,750,12,1,70,2005-05-01T00:00:00Z,9.96,14.94,119.49
34972,IMPORTED VODKA - MISC,Three Olives Cherry Vodka,395,Proximo,750,12,1,70,2005-05-01T00:00:00Z,9.96,14.94,119.49
34984,IMPORTED VODKA - MISC,Three Olives Citrus Vodka,395,Proximo,750,12,1,70,2011-06-01T00:00:00Z,11.16,16.74,133.94
34986,IMPORTED VODKA,Turi Estonian Vodka,330,Monsieur Henri Wines Ltd.,750,12,1,80,2003-08-01T00:00:00Z,11.67,17.51,140
3499,DECANTERS & SPECIALTY PACKAGES,Sauza Extra Gold W/margarita Mix,65,Jim Beam Brands,750,6,1,80,2004-06-01T00:00:00Z,8.4,12.6,50.37
34995,IMPORTED VODKA - MISC,Three Olives Grape Vodka,395,Proximo,750,12,1,70,2006-02-01T00:00:00Z,9.96,14.94,119.49
34997,IMPORTED VODKA - MISC,Three Olives Cherry Vodka,395,Proximo,1000,6,1,70,2011-06-01T00:00:00Z,3.37,5.06,20.21
350,DECANTERS & SPECIALTY PACKAGES,Evan Williams Single Barrel Gift Set,259,Heaven Hill Distilleries Inc.,750,6,1,86,1996-09-01T00:00:00Z,13.74,20.61,82.45
904929,SINGLE MALT SCOTCH,Cadenheads Highland,391,Anchor Distilling (preiss Imports),750,6,1,100,2010-11-05T00:00:00Z,36.43,54.65,218.56
3500,DECANTERS & SPECIALTY PACKAGES,Sauza Extra Gold W/margarita Mix,65,Jim Beam Brands,750,6,1,80,2000-05-01T00:00:00Z,8.39,12.59,50.36
35005,IMPORTED VODKA,Van Gogh Expresso Vodka,421,Sazerac Co. Inc.,750,12,1,70,2007-03-01T00:00:00Z,12.67,19.01,152
35015,NA,Albertson's Vodka,198,Frank-lin Distillers Products Ltd.,750,12,1,80,2000-11-01T00:00:00Z,3.08,4.62,37
35018,NA,Sav-On Osco Vodka,135,Nws Inc Dba Consolidated Dist,1750,6,1,80,2000-11-01T00:00:00Z,6.26,9.39,37.58
3502,DECANTERS & SPECIALTY PACKAGES,Sauza Conmemorativo W/margarita Mix,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,2000-08-01T00:00:00Z,13.86,20.79,83.18
35022,IMPORTED VODKA - MISC,Van Gogh Double Expresso Vodka,421,Sazerac Co. Inc.,750,6,1,70,2012-04-01T00:00:00Z,13.17,19.76,79
35039,IMPORTED VODKA - MISC,Three Olives Pomegranate Vodka,395,Proximo,750,12,1,70,2007-03-01T00:00:00Z,9.96,14.94,119.49
35047,IMPORTED VODKA,Three Olives Watermelon Vodka,395,Proximo,750,12,1,70,2006-10-01T00:00:00Z,11.16,16.74,133.94
351,DECANTERS & SPECIALTY PACKAGES,Evan Williams Sng Bbl W/barrel Flask,259,Heaven Hill Distilleries Inc.,750,6,1,87,2010-07-01T00:00:00Z,14.24,21.36,85.45
35109,IMPORTED VODKA,Russian Standard Original Vodka,239,Russian Standard Vodka Usa,750,12,1,80,2011-11-01T00:00:00Z,10,15,120
904930,SINGLE MALT SCOTCH,Cadenheads Lowland,391,Anchor Distilling (preiss Imports),750,6,1,100,2010-11-05T00:00:00Z,36.43,54.65,218.56
3512,DECANTERS & SPECIALTY PACKAGES,Sauza Tres Generaciones Plata W/shot Glasses,490,Allied Domecq Spirits And Wine Usa,750,6,1,80,2002-08-01T00:00:00Z,19.06,28.59,114.36
35120,IMPORTED VODKA,Skyy 90,461,Campari(skyy),750,6,1,90,2007-03-01T00:00:00Z,16.7,25.05,100.2
35136,IMPORTED VODKA - MISC,Finlandia Grapefruit,85,Brown-forman Corporation,750,12,1,75,2012-10-01T00:00:00Z,8.57,12.86,102.83
35147,IMPORTED VODKA - MISC,Three Olives Mango Flavored Vodka,395,Proximo,750,12,1,70,2007-10-01T00:00:00Z,9.96,14.94,119.49
35156,IMPORTED VODKA - MISC,Van Gogh Acai Blueberry Vodka,421,Sazerac Co. Inc.,750,6,1,70,2010-09-01T00:00:00Z,13.28,19.92,79.7
3517,DECANTERS & SPECIALTY PACKAGES,Sauza Hornitos Glass Pack,157,Domecq Importers Inc.,750,6,1,80,1999-07-01T00:00:00Z,13.86,20.79,83.18
35179,IMPORTED VODKA - MISC,Pearl Blueberry Vodka,434,Luxco-st Louis,750,12,1,70,2008-02-01T00:00:00Z,7.86,11.79,94.25
35183,IMPORTED VODKA - MISC,Pearl Plum,434,Luxco-st Louis,750,12,1,70,2014-01-01T00:00:00Z,7.86,11.79,94.25
35213,IMPORTED VODKA,Sobieski Vodka,267,Imperial Brands Inc.,1750,6,1,80,2010-05-01T00:00:00Z,10.99,16.49,65.9
35216,IMPORTED VODKA,Stoli Blakberi,240,William Grant And Sons Inc.,750,12,1,70,2008-05-01T00:00:00Z,12.24,18.36,146.92
904931,SCOTCH WHISKIES,Bruichladdich 16yr Cuvee-B,501,Winebow Inc.,750,6,1,92,2009-04-29T00:00:00Z,55.78,83.67,334.7
3522,DECANTERS & SPECIALTY PACKAGES,Patron Reposado Citronage Summer Pack,410,The Patron Spirits Company,750,6,1,80,2007-08-01T00:00:00Z,27,40.5,162
35221,IMPORTED VODKA - MISC,Pinnacle Banana(dno),65,Jim Beam Brands,750,12,1,70,2011-11-01T00:00:00Z,7.87,11.81,94.45
35234,IMPORTED VODKA,Three Olives Root Beer Vodka,395,Proximo,750,12,1,70,2009-03-01T00:00:00Z,11.16,16.74,133.94
35238,IMPORTED VODKA,Three Olives Tomato Vodka,395,Proximo,750,12,1,70,2008-05-01T00:00:00Z,11.14,16.71,133.62
3524,DECANTERS & SPECIALTY PACKAGES,Margaritaville Tequila Oro W/mixer,330,Monsieur Henri Wines Ltd.,750,6,1,80,2001-03-01T00:00:00Z,10.15,15.23,60.9
35242,IMPORTED VODKA,Pinnacle,65,Jim Beam Brands,1000,12,1,80,2014-03-01T00:00:00Z,9.45,14.18,113.4
3526,DECANTERS & SPECIALTY PACKAGES,Patron Rainbow Pack,410,The Patron Spirits Company,150,20,3,80,2014-02-01T00:00:00Z,10.05,15.08,201
35261,IMPORTED VODKA,Purus Organic Vodka Mini,27,Anheuser-busch/longtail Libations,1508,4,30,80,2008-11-01T00:00:00Z,4.4,6.6,17.6
35264,IMPORTED VODKA,Purus Organic Vodka,27,Anheuser-busch/longtail Libations,750,6,1,80,2008-06-01T00:00:00Z,17.53,26.3,105.16
35279,IMPORTED VODKA,Hammer Sickle,312,Klin Spirits Llc,750,6,1,80,2013-03-01T00:00:00Z,13.34,20.01,80
904932,SINGLE MALT SCOTCH,Cadenheads Campbeltown,391,Anchor Distilling (preiss Imports),750,6,1,100,2010-11-05T00:00:00Z,36.43,54.65,218.56
35313,80 PROOF VODKA,Barton Vodka,55,Sazerac North America,200,48,1,80,2014-09-01T00:00:00Z,1.13,1.7,54
35314,80 PROOF VODKA,Barton Vodka,55,Sazerac North America,375,24,1,80,2014-09-01T00:00:00Z,1.71,2.57,41
35315,80 PROOF VODKA,Barton Vodka Pet,55,Sazerac North America,750,12,1,80,1997-10-01T00:00:00Z,3.37,5.06,40.43
35316,80 PROOF VODKA,Barton Vodka,55,Sazerac North America,750,12,1,80,1992-04-01T00:00:00Z,3.37,5.06,40.43
35317,80 PROOF VODKA,Barton Vodka,55,Sazerac North America,1000,12,1,80,1983-11-01T00:00:00Z,3.97,5.96,47.63
35318,80 PROOF VODKA,Barton Vodka,55,Sazerac North America,1750,6,1,80,1985-05-01T00:00:00Z,6.92,10.38,41.52
3533,DECANTERS & SPECIALTY PACKAGES,Xq Anejo Gift W/2 Glasses,831,Better Beverage Importers,750,6,1,80,2001-08-01T00:00:00Z,38.09,57.14,228.55
35354,IMPORTED VODKA - MISC,Absolut Mango Vodka,370,Pernod Ricard Usa/austin Nichols,750,12,1,80,2009-02-01T00:00:00Z,11.49,17.24,137.88
3536,DECANTERS & SPECIALTY PACKAGES,Jose Cuervo Tradicional Bonus Pack,395,Proximo,750,6,1,80,2003-05-01T00:00:00Z,14.4,21.6,86.37
35416,80 PROOF VODKA,Burnett's Vodka 80 Prf,259,Heaven Hill Distilleries Inc.,750,12,1,80,1991-10-01T00:00:00Z,4.18,6.6,50.08
904933,SINGLE MALT SCOTCH,Loch Chaim Highland Park 1996,456,Spirit Imports Inc.,750,2,1,86,2010-07-22T00:00:00Z,59.52,89.28,119.04
35418,80 PROOF VODKA,Burnett's Vodka 80 Prf,259,Heaven Hill Distilleries Inc.,1750,6,1,80,1995-06-01T00:00:00Z,8.79,13.69,52.7
35427,IMPORTED VODKA,Russian Standard Platinum Vodka,239,Russian Standard Vodka Usa,750,12,1,80,2009-08-01T00:00:00Z,12.49,18.74,149.92
35435,IMPORTED VODKA,Svedka Traveler,115,Constellation Wine Company Inc.,750,12,1,80,2012-07-01T00:00:00Z,8.25,12.38,98.96
35453,IMPORTED VODKA - MISC,Svedka Cherry Vodka,115,Constellation Wine Company Inc.,750,12,1,75,2010-02-01T00:00:00Z,8.25,12.38,98.96
35456,IMPORTED VODKA - MISC,Sobieski Cytron,267,Imperial Brands Inc.,750,12,1,70,2012-04-01T00:00:00Z,5.7,8.55,68.32
35460,IMPORTED VODKA,Van Gogh Blue 80 Proof Wheat Vodka,421,Sazerac Co. Inc.,750,6,1,80,2010-09-01T00:00:00Z,14.28,21.42,85.7
35465,IMPORTED VODKA,Sobieski Vanilla,267,Imperial Brands Inc.,1000,12,1,70,2012-01-06T00:00:00Z,3.88,5.82,23.25
35466,IMPORTED VODKA - MISC,Van Gogh Dutch Caramel Vodka,421,Sazerac Co. Inc.,750,6,1,70,2010-09-01T00:00:00Z,13.17,19.76,79
35469,IMPORTED VODKA - MISC,Three Olives Bubble Vodka,395,Proximo,750,12,1,70,2010-05-01T00:00:00Z,9.96,14.94,119.49
35481,IMPORTED VODKA,Svedka Citron Vodka,115,Constellation Wine Company Inc.,750,12,1,75,2009-08-01T00:00:00Z,7.99,11.99,95.93
904934,SINGLE MALT SCOTCH,Cadenheads Islay,391,Anchor Distilling (preiss Imports),750,6,1,100,2010-11-05T00:00:00Z,36.43,54.65,218.56
35501,IMPORTED VODKA - MISC,Stolichnaya Gala Applik Vodka,240,William Grant And Sons Inc.,750,12,1,70,2009-10-01T00:00:00Z,12.8,19.2,153.54
35503,IMPORTED VODKA,Stolichnaya Gala Applik,240,William Grant And Sons Inc.,1750,6,1,70,2011-11-09T00:00:00Z,23.46,35.19,140.77
35505,IMPORTED VODKA - MISC,Pinnacle Tropical Punch,65,Jim Beam Brands,750,12,1,70,2011-03-01T00:00:00Z,7.88,11.82,94.45
35527,FLAVORED VODKA,Bakon Vodka,394,Black Rock Spirits,750,6,1,70,2010-03-01T00:00:00Z,15,22.5,89.95
3553,DECANTERS & SPECIALTY PACKAGES,1800 Silver With 1800 Margarita Mix,395,Proximo,750,6,1,80,2004-04-01T00:00:00Z,13.87,20.81,83.24
35531,IMPORTED VODKA - MISC,Stolichnaya White Pomegranik Vodka,240,William Grant And Sons Inc.,750,12,1,75,2010-06-01T00:00:00Z,12.8,19.2,153.54
35538,IMPORTED VODKA - MISC,Pinnacle County Fair Cotton,65,Jim Beam Brands,750,12,1,70,2013-01-01T00:00:00Z,7.88,11.82,94.45
3554,DECANTERS & SPECIALTY PACKAGES,1800 Reposado With 1800 Margarita Mix,395,Proximo,750,6,1,80,2004-04-01T00:00:00Z,13.87,20.81,83.24
35543,IMPORTED VODKA - MISC,Ketel One Oranje,260,Diageo Americas,750,12,1,80,2010-06-01T00:00:00Z,14,21,167.95
35544,IMPORTED VODKA,Ketel One Oranje,260,Diageo Americas,1000,12,1,80,2010-06-01T00:00:00Z,16.47,24.71,197.62
904935,NA,Stolichnaya Wild Cherri Vodka,277,Stoli Group,750,12,1,75,2010-11-05T00:00:00Z,12.8,19.19,153.54
35549,IMPORTED VODKA - MISC,Three Olives Rangtang,395,Proximo,750,12,1,70,2010-05-01T00:00:00Z,11.17,16.76,133.94
35553,IMPORTED VODKA,Crystal Head Vodka,255,Wilson Daniels Ltd.,1750,3,1,80,2010-08-01T00:00:00Z,51.99,77.99,155.97
3556,DECANTERS & SPECIALTY PACKAGES,Corazon Reposado Tequila Snifter Pack,192,Sidney Frank Importing Co.,750,6,1,80,2004-08-01T00:00:00Z,26.95,40.43,161.7
3557,DECANTERS & SPECIALTY PACKAGES,1800 Reposado 2 Shot Pack,395,Proximo,750,12,1,80,2006-08-01T00:00:00Z,14.43,21.65,173.16
35573,IMPORTED VODKA,Rokk Vodka,260,Diageo Americas,1750,6,1,80,2010-10-01T00:00:00Z,14,21,83.97
3558,DECANTERS & SPECIALTY PACKAGES,1800 Reposado Tequila Shot Glass Pack,395,Proximo,750,12,1,80,2004-08-06T00:00:00Z,13.88,20.82,166.5
35586,80 PROOF VODKA,Clearheart Vodka,125,Cedar Ridge Vineyardsllc,750,6,1,80,2007-02-01T00:00:00Z,12.3,18.45,73.8
35622,IMPORTED VODKA - MISC,Rokk Raspberry Vodka,260,Diageo Americas,750,12,1,70,2010-10-01T00:00:00Z,8.5,12.75,101.95
35626,IMPORTED VODKA - MISC,Pinnacle Whipped,65,Jim Beam Brands,750,12,1,70,2010-08-01T00:00:00Z,7.88,11.82,94.45
35628,IMPORTED VODKA - MISC,Pinnacle Whipped,65,Jim Beam Brands,1750,6,1,70,2011-03-01T00:00:00Z,11.08,17.12,66.44
904648,IMPORTED VODKA,Fris Grape Vodka,370,Pernod Ricard Usa/austin Nichols,750,12,1,80,2010-02-08T00:00:00Z,5.13,7.7,61.5
904936,TEQUILA,Centinela Anejo,256,Haas Brothers,750,12,1,80,2009-05-14T00:00:00Z,21.1,31.65,253.2
35637,IMPORTED VODKA - MISC,Three Olives Purple Vodka,395,Proximo,750,12,1,70,2010-09-01T00:00:00Z,9.96,14.94,119.49
35651,IMPORTED VODKA,Eristoff Vodka,35,Bacardi U.s.a. Inc.,1750,6,1,80,2011-04-01T00:00:00Z,6.26,9.39,37.58
3566,TEQUILA,Patron Tequila Three Pack,410,The Patron Spirits Company,1127,4,1,80,2005-05-01T00:00:00Z,38.76,58.14,155.04
35688,IMPORTED VODKA - MISC,Stolichnaya Ohranj Vodka,240,William Grant And Sons Inc.,1000,12,1,75,2011-02-01T00:00:00Z,16.18,24.27,194.12
35691,IMPORTED VODKA - MISC,Pearl Red Berry Vodka,434,Luxco-st Louis,750,12,1,70,2012-02-27T00:00:00Z,7.85,11.78,94.25
35692,IMPORTED VODKA - MISC,Pearl Caramel Vodka,434,Luxco-st Louis,750,12,1,70,2010-11-01T00:00:00Z,7.86,11.79,94.25
35695,IMPORTED VODKA - MISC,Pearl Citrus,434,Luxco-st Louis,750,12,1,70,2014-01-01T00:00:00Z,7.86,11.79,94.25
35699,IMPORTED VODKA - MISC,Pearl Cucumber Vodka,434,Luxco-st Louis,750,12,1,70,2010-11-01T00:00:00Z,7.86,11.79,94.25
3570,DECANTERS & SPECIALTY PACKAGES,Corazon Blanco Tequila Wood Box Glass Set,192,Sidney Frank Importing Co.,750,6,1,80,2005-08-01T00:00:00Z,25.12,37.68,150.7
35702,IMPORTED VODKA - MISC,Pearl Orange Vodka,434,Luxco-st Louis,750,12,1,70,2011-07-01T00:00:00Z,7.86,11.79,94.25
904937,FLAVORED RUM,Cruzan Pineapple Rum,65,Jim Beam Brands,750,12,1,42,2009-03-25T00:00:00Z,6.83,10.25,81.96
3571,DECANTERS & SPECIALTY PACKAGES,Patron Silver W/shot Glasses,410,The Patron Spirits Company,750,6,1,80,2005-08-01T00:00:00Z,26.08,39.12,156.5
35713,IMPORTED VODKA - MISC,Stoli Wild Cherri Vodka,240,William Grant And Sons Inc.,750,12,1,75,2011-07-01T00:00:00Z,12.24,18.36,146.92
35728,80 PROOF VODKA,Cyclone Vodka,143,Dakota Spirits Distillery,750,12,1,80,2010-10-01T00:00:00Z,10.17,15.26,122.02
3573,DECANTERS & SPECIALTY PACKAGES,1800 Reposado Tequila Tin,395,Proximo,750,12,1,80,2005-10-01T00:00:00Z,13.88,20.82,166.5
35730,80 PROOF VODKA,Death's Door Vodka,451,Serralles Usa,750,6,1,80,2014-07-01T00:00:00Z,14.83,22.25,88.97
35743,IMPORTED VODKA - MISC,Pinnacle Chocolate Whipped,65,Jim Beam Brands,750,12,1,70,2010-12-01T00:00:00Z,7.88,11.82,94.45
35747,80 PROOF VODKA,Blue Angel Vodka,76,Blue Angel Spirits Llc,750,6,1,80,2010-11-05T00:00:00Z,10.5,15.75,63
35759,IMPORTED VODKA,Chopin Rye Vodka,305,Mhw Ltd,750,6,1,80,2012-04-01T00:00:00Z,15.83,23.75,94.96
35766,IMPORTED VODKA - MISC,"""Three Olives """"dude"""" Vodka""",395,Proximo,750,12,1,70,2011-03-01T00:00:00Z,9.96,14.94,119.49
3577,DECANTERS & SPECIALTY PACKAGES,1800 Silver W/shot Glasses,395,Proximo,750,12,1,80,2007-07-01T00:00:00Z,14.43,21.65,173.16
904938,IMPORTED VODKA,Wodka Vodka,305,Mhw Ltd,750,12,1,80,2010-11-12T00:00:00Z,5.67,8.51,68
35770,IMPORTED VODKA - MISC,Pinnacle Cherry Whipped,65,Jim Beam Brands,750,12,1,70,2011-05-01T00:00:00Z,7.88,11.82,94.45
35773,IMPORTED VODKA - MISC,Pinnacle Orange Whipped,65,Jim Beam Brands,750,12,1,70,2013-11-01T00:00:00Z,7.88,11.82,94.45
35776,80 PROOF VODKA,Barton Vodka Mini,55,Sazerac North America,600,10,12,80,2014-06-01T00:00:00Z,3.92,5.88,39.2
35778,IMPORTED VODKA - MISC,Pinnacle Cherry Whipped Mini,65,Jim Beam Brands,600,4,12,70,2011-09-01T00:00:00Z,5.64,8.46,22.56
35779,IMPORTED VODKA - MISC,Pinnacle Orange Whipped Mini,65,Jim Beam Brands,600,4,12,70,2011-09-01T00:00:00Z,5.64,8.46,22.56
35780,IMPORTED VODKA - MISC,Pinnacle Cake Vodka,65,Jim Beam Brands,750,12,1,70,2011-07-01T00:00:00Z,7.88,11.82,94.45
35784,IMPORTED VODKA - MISC,Pinnacle Coconut,65,Jim Beam Brands,750,12,1,70,2014-10-01T00:00:00Z,7.88,11.82,94.45
35785,80 PROOF VODKA,Cupcake Vodka Original,483,The Wine Group,750,12,1,80,2011-08-01T00:00:00Z,7.5,11.25,89.94
35788,IMPORTED VODKA - MISC,Sobieski Bizon Grass Vodka,267,Imperial Brands Inc.,750,12,1,80,2012-07-19T00:00:00Z,7.6,11.4,91.2
35798,IMPORTED VODKA - MISC,Sobieski Espresso,267,Imperial Brands Inc.,750,12,1,70,2013-06-01T00:00:00Z,3.55,5.33,42.59
904939,TEQUILA,1921 Tequila Anejo,109,Casa 1921 Llc,750,6,1,80,2010-10-21T00:00:00Z,30.17,45.26,181
3580,DECANTERS & SPECIALTY PACKAGES,Sauza Hornitos W/shot Glasses,65,Jim Beam Brands,750,6,1,80,2006-10-01T00:00:00Z,15.76,23.64,94.57
35815,IMPORTED VODKA - MISC,Pinnacle Cake Mini,65,Jim Beam Brands,600,4,12,70,2011-09-01T00:00:00Z,5.64,8.46,22.56
3583,DECANTERS & SPECIALTY PACKAGES,El Diamante Del Cielo Briefcase,162,Blavod Extreme Spirits Usa Inc.,2254,1,1,80,2006-08-01T00:00:00Z,97,145.5,97
3584,DECANTERS & SPECIALTY PACKAGES,Patron 4 Pack,410,The Patron Spirits Company,1467,3,1,80,2006-08-01T00:00:00Z,41.85,62.78,125.55
35860,80 PROOF VODKA,Dry Fly Vodka,158,Dry Fly Distilling,750,12,1,80,2010-06-01T00:00:00Z,17.45,26.18,209.39
35863,80 PROOF VODKA,Clix Vodka,421,Sazerac Co. Inc.,750,1,1,80,2011-10-25T00:00:00Z,3.88,5.82,23.25
35867,IMPORTED VODKA - MISC,Pinnacle Cotton Vodka,65,Jim Beam Brands,750,12,1,70,2011-10-01T00:00:00Z,3.88,5.82,23.25
35873,IMPORTED VODKA - MISC,Pinnacle Red Liquorice,65,Jim Beam Brands,750,12,1,70,2012-08-01T00:00:00Z,7.88,11.82,94.45
35881,IMPORTED VODKA - MISC,Pinnacle Marshmallow,65,Jim Beam Brands,750,12,1,70,2011-11-01T00:00:00Z,7.88,11.82,94.45
35887,IMPORTED VODKA - MISC,Pinnacle Red Berry,65,Jim Beam Brands,750,12,1,70,2012-04-01T00:00:00Z,7.88,11.82,94.45
904940,SINGLE MALT SCOTCH,Aberlour 18yr,370,Pernod Ricard Usa/austin Nichols,750,6,1,86,2010-11-12T00:00:00Z,49.99,74.99,299.94
35891,IMPORTED VODKA - MISC,Three Olives Cake Flavored Vodka,395,Proximo,750,12,1,70,2011-10-01T00:00:00Z,9.96,14.94,119.49
35897,IMPORTED VODKA - MISC,Stolichnaya Chocolat Razberi,240,William Grant And Sons Inc.,750,12,1,75,2011-10-01T00:00:00Z,12.8,19.2,153.54
35904,IMPORTED VODKA,Chopin Wheat Vodka,305,Mhw Ltd,750,6,1,80,2012-04-01T00:00:00Z,15.83,23.75,94.96
35907,IMPORTED VODKA - MISC,Pinnacle Cookie Dough,65,Jim Beam Brands,750,12,1,70,2012-03-01T00:00:00Z,7.88,11.82,94.45
35913,80 PROOF VODKA,Five O'clock Vodka,297,Laird And Company,200,48,1,80,1988-05-01T00:00:00Z,1.13,1.7,54.23
35914,80 PROOF VODKA,Five O'clock Vodka,297,Laird And Company,375,24,1,80,1991-04-01T00:00:00Z,1.93,2.9,46.31
35915,IMPORTED VODKA - MISC,Three Olives Supercola Flavored Vodka,395,Proximo,750,12,1,70,2012-03-01T00:00:00Z,11.16,16.74,133.94
35916,80 PROOF VODKA,Five O'clock Vodka,297,Laird And Company,750,12,1,80,1972-11-01T00:00:00Z,3.37,5.06,40.44
35917,80 PROOF VODKA,Five O'clock Vodka,297,Laird And Company,1000,12,1,80,1987-12-01T00:00:00Z,4.17,6.26,50.03
35918,80 PROOF VODKA,Five O'clock Vodka,297,Laird And Company,1750,6,1,80,1977-05-01T00:00:00Z,7.2,10.8,43.17
904941,WHISKEY LIQUEUR,Fireball Cinnamon Whisky Minis,421,Sazerac Co. Inc.,502,120,1,66,2009-08-06T00:00:00Z,0.81,1.22,97
35920,IMPORTED VODKA - MISC,Pearl Wedding Cake Vodka Mini,434,Luxco-st Louis,500,12,10,70,2012-02-01T00:00:00Z,5,7.5,60
35921,IMPORTED VODKA - MISC,Pearl Wedding Cake Vodka,434,Luxco-st Louis,750,12,1,70,2011-10-01T00:00:00Z,7.86,11.79,94.25
35926,80 PROOF VODKA,Five O'clock PET Vodka,297,Laird And Company,750,12,1,80,1994-07-01T00:00:00Z,3.37,5.06,40.44
35933,IMPORTED VODKA - MISC,Grey Goose Cherry Noir,35,Bacardi U.s.a. Inc.,375,12,1,80,2013-12-01T00:00:00Z,8.48,12.72,101.75
35934,IMPORTED VODKA - MISC,Grey Goose Cherry Noir,35,Bacardi U.s.a. Inc.,750,6,1,80,2012-04-01T00:00:00Z,18.49,27.74,110.94
35937,IMPORTED VODKA - MISC,Pinnacle Atomic Hot,65,Jim Beam Brands,750,12,1,70,2012-03-01T00:00:00Z,7.88,11.82,94.45
35944,80 PROOF VODKA,Fleischmann's Royal Vodka,55,Sazerac North America,375,24,1,80,1985-04-01T00:00:00Z,1.74,2.61,41.65
35946,80 PROOF VODKA,Fleischmann's Royal Vodka,55,Sazerac North America,750,12,1,80,1974-05-01T00:00:00Z,3.31,4.97,39.63
35947,80 PROOF VODKA,Fleischmann's Royal Vodka,55,Sazerac North America,1000,12,1,80,1988-05-01T00:00:00Z,4,6,47.92
35948,80 PROOF VODKA,Fleischmann's Royal Vodka 80 Prf,55,Sazerac North America,1750,6,1,80,1977-02-01T00:00:00Z,6.68,10.27,40.08
904942,AMERICAN ALCOHOL,Everclear 151,434,Luxco-st Louis,200,48,1,151,2010-11-08T00:00:00Z,2.29,3.44,110
3595,DECANTERS & SPECIALTY PACKAGES,Jose Cuervo Traditional With Glasses,395,Proximo,750,6,1,80,2007-05-01T00:00:00Z,14.89,22.34,89.36
